#wavelength(nm) percent
270.0 0
275.0 0
280.0 0
285.0 0
290.0 0
295.0 0
300.0 0
305.0 0.15
310.0 0.39
315.0 1.73
320.0 3.41
325.0 6.62
330.0 10.17
335.0 13.45
340.0 16.65
345.0 18.79
350.0 20.74
355.0 21.92
360.0 23.21
365.0 23.91
370.0 24.81
375.0 25.42
380.0 25.75
385.0 25.97
390.0 26.19
395.0 26.42
400.0 26.25
405.0 25.91
410.0 25.76
415.0 25.42
420.0 25.17
425.0 25.05
430.0 24.84
435.0 24.49
440.0 24.14
445.0 23.78
450.0 23.32
455.0 22.87
460.0 22.31
465.0 21.56
470.0 20.8
475.0 20
480.0 19.4
485.0 18.75
490.0 18.3
495.0 17.9
500.0 17.49
505.0 17.14
510.0 16.69
515.0 16.08
520.0 15.27
525.0 14.06
530.0 12.66
535.0 11.36
540.0 10.06
545.0 9.06
550.0 8.36
555.0 7.74
560.0 7.3
565.0 6.9
570.0 6.5
575.0 6.2
580.0 5.9
585.0 5.6
590.0 5.3
595.0 5
600.0 4.7
605.0 4.5
610.0 4.2
615.0 4
620.0 3.7
625.0 3.5
630.0 3.3
635.0 3.1
640.0 2.9
645.0 2.7
650.0 2.5
655.0 2.3
660.0 2.3
665.0 2.1
670.0 1.8
675.0 1.6
680.0 1.3
685.0 1.1
690.0 1
695.0 0.9
700.0 0.9
705.0 0.4
710.0 0

