# #for lambda=500nm
# #cos(delta)	rate
-9.999500004166652634e-01 2.796655769472635584e+05
-9.973173569503041014e-01 2.654008160591291380e+04
-9.906943849447265027e-01 1.251141052729451803e+04
-9.801075833212882227e-01 7.834211122513144801e+03
-9.655993105292455247e-01 5.508159443181076313e+03
-9.472276150669759476e-01 4.111147012204855855e+03
-9.250660032263395838e-01 3.192041262267185175e+03
-8.992031449894501982e-01 2.551753112183532266e+03
-8.697425192545836792e-01 2.082157437149279303e+03
-8.368019998106932533e-01 1.728596508433877034e+03
-8.005133837170779199e-01 1.455540765935834088e+03
-7.610218639751810121e-01 1.240913809003961887e+03
-7.184854486023944942e-01 1.069527067385042528e+03
-6.730743284321940578e-01 9.306816070015548803e+02
-6.249701961700653285e-01 8.173452866036915339e+02
-5.743655194297346833e-01 7.242291670288537944e+02
-5.214627706583202515e-01 6.465712470039676418e+02
-4.664736170315241792e-01 5.819342276585974787e+02
-4.096180735601520073e-01 5.272515163226390769e+02
-3.511236227964165124e-01 4.812155963475638600e+02
-2.912243046621564302e-01 4.421422502847561304e+02
-2.301597800406047223e-01 4.088047024028276155e+02
-1.681743718783473840e-01 3.802598187380494323e+02
-1.055160876340741349e-01 3.558410532613898454e+02
-4.243562698537111516e-02 3.347985332738443844e+02
2.081462123622328936e-02 3.167930814741400241e+02
8.398158886857212679e-02 3.013674531667560927e+02
1.468125409603351916e-01 2.882303367848697349e+02
2.090560869791707188e-01 2.770307925756814598e+02
2.704631866408296337e-01 2.677099620544523759e+02
3.307881463347652207e-01 2.598426476494424264e+02
3.897896021594906002e-01 2.533480633924286849e+02
4.472314856345048772e-01 2.481355981458731890e+02
5.028839682249094389e-01 2.441596835514992563e+02
5.565243808996169772e-01 2.410997558245405230e+02
6.079381050439408574e-01 2.389259941216079994e+02
6.569194311619719340e-01 2.376742941235280853e+02
7.032723819330148896e-01 2.370394746184405790e+02
7.468114963289933517e-01 2.369762826820356736e+02
7.873625716555132659e-01 2.375788458790241577e+02
8.247633605476379914e-01 2.385188023486059024e+02
8.588642201316464275e-01 2.396559014414901867e+02
8.895287107554445960e-01 2.410152025194205123e+02
9.166341418920662676e-01 2.424410453708820512e+02
9.400720630320736904e-01 2.439625283753388771e+02
9.597486976007659765e-01 2.453015402951810415e+02
9.755853181640639082e-01 2.464934492993560298e+02
9.875185614218523478e-01 2.474353445431571572e+02
9.955006817284698384e-01 2.480899792944094600e+02
9.994997421259953496e-01 2.484255330636752035e+02
9.994997421259953496e-01 2.484255330636752035e+02
9.955006817284698384e-01 2.480899792944094600e+02
9.875185614218523478e-01 2.474353445431571572e+02
9.755853181640640193e-01 2.464934492993560866e+02
9.597486976007660875e-01 2.453015402951810415e+02
9.400720630320738014e-01 2.439625283753388771e+02
9.166341418920662676e-01 2.424410453708820512e+02
8.895287107554445960e-01 2.410152025194205123e+02
8.588642201316467606e-01 2.396559014414901867e+02
8.247633605476382135e-01 2.385188023486059592e+02
7.873625716555135989e-01 2.375788458790240725e+02
7.468114963289933517e-01 2.369762826820356736e+02
7.032723819330152226e-01 2.370394746184405790e+02
6.569194311619722670e-01 2.376742941235281705e+02
6.079381050439413015e-01 2.389259941216080279e+02
5.565243808996174213e-01 2.410997558245404377e+02
5.028839682249094389e-01 2.441596835514992563e+02
4.472314856345052658e-01 2.481355981458732742e+02
3.897896021594906002e-01 2.533480633924286849e+02
3.307881463347654427e-01 2.598426476494424264e+02
2.704631866408302443e-01 2.677099620544523759e+02
2.090560869791707188e-01 2.770307925756814598e+02
1.468125409603356357e-01 2.882303367848697349e+02
8.398158886857190475e-02 3.013674531667560927e+02
2.081462123622351140e-02 3.167930814741400241e+02
-4.243562698537067107e-02 3.347985332738441571e+02
-1.055160876340741349e-01 3.558410532613898454e+02
-1.681743718783469399e-01 3.802598187380494323e+02
-2.301597800406040562e-01 4.088047024028274450e+02
-2.912243046621562081e-01 4.421422502847561304e+02
-3.511236227964161238e-01 4.812155963475635190e+02
-4.096180735601520073e-01 5.272515163226390769e+02
-4.664736170315241792e-01 5.819342276585974787e+02
-5.214627706583194744e-01 6.465712470039666186e+02
-5.743655194297346833e-01 7.242291670288537944e+02
-6.249701961700649955e-01 8.173452866036908517e+02
-6.730743284321940578e-01 9.306816070015548803e+02
-7.184854486023944942e-01 1.069527067385042528e+03
-7.610218639751803460e-01 1.240913809003959159e+03
-8.005133837170779199e-01 1.455540765935834088e+03
-8.368019998106930313e-01 1.728596508433874760e+03
-8.697425192545836792e-01 2.082157437149279303e+03
-8.992031449894501982e-01 2.551753112183532266e+03
-9.250660032263393617e-01 3.192041262267180628e+03
-9.472276150669759476e-01 4.111147012204855855e+03
-9.655993105292454137e-01 5.508159443181063580e+03
-9.801075833212882227e-01 7.834211122513144801e+03
-9.906943849447265027e-01 1.251141052729451803e+04
-9.973173569503039904e-01 2.654008160591247361e+04
-9.999500004166652634e-01 2.796655769472635584e+05
