# #for lambda=600.0nm
# #Distance	rate
1.000000000000000000e+02 3.462256685599936379e+00
1.025252525252525260e+02 2.497159285950742991e+00
1.050505050505050519e+02 1.803132244843173027e+00
1.075757575757575779e+02 1.303461102364262159e+00
1.101010101010101039e+02 9.431190881423470174e-01
1.126262626262626299e+02 6.830666261219459079e-01
1.151515151515151558e+02 4.951911870642478064e-01
1.176767676767676676e+02 3.593185824657572636e-01
1.202020202020202078e+02 2.609509588254891876e-01
1.227272727272727195e+02 1.896733816332565048e-01
1.252525252525252597e+02 1.379750025978178363e-01
1.277777777777777715e+02 1.004426261968424244e-01
1.303030303030303116e+02 7.317261722278969871e-02
1.328282828282828234e+02 5.334709592238696951e-02
1.353535353535353352e+02 3.891866139300473315e-02
1.378787878787878753e+02 2.841173409865407201e-02
1.404040404040404155e+02 2.075374958335202136e-02
1.429292929292929273e+02 1.516910198468273026e-02
1.454545454545454390e+02 1.109422788728370302e-02
1.479797979797979792e+02 8.118849484120073054e-03
1.505050505050505194e+02 5.944444381836952798e-03
1.530303030303030312e+02 4.354640851622258724e-03
1.555555555555555429e+02 3.191737798323868430e-03
1.580808080808080831e+02 2.340568996157990633e-03
1.606060606060605949e+02 1.717260101676131240e-03
1.631313131313131350e+02 1.260522813794716108e-03
1.656565656565656468e+02 9.256867920331323307e-04
1.681818181818181870e+02 6.800837257308717200e-04
1.707070707070706987e+02 4.998788697315639361e-04
1.732323232323232105e+02 3.675643200208284877e-04
1.757575757575757507e+02 2.703841393015892305e-04
1.782828282828282909e+02 1.989738747206333221e-04
1.808080808080808026e+02 1.464838575081206496e-04
1.833333333333333144e+02 1.078848224631610657e-04
1.858585858585858546e+02 7.948770328280936907e-05
1.883838383838383947e+02 5.858311371080919246e-05
1.909090909090909065e+02 4.318972119896525593e-05
1.934343434343434183e+02 3.185183918314097006e-05
1.959595959595959584e+02 2.349819197344598420e-05
1.984848484848484986e+02 1.734083893992923153e-05
2.010101010101010104e+02 1.280088479128116677e-05
2.035353535353535221e+02 9.452501354461015641e-06
2.060606060606060623e+02 6.982268885346321854e-06
2.085858585858585741e+02 5.158852775143238529e-06
2.111111111111110858e+02 3.812657928710586736e-06
2.136363636363636260e+02 2.818564513485808038e-06
2.161616161616161662e+02 2.084224966809335772e-06
2.186868686868686780e+02 1.541642117016144219e-06
2.212121212121211897e+02 1.140644524460307642e-06
2.237373737373737299e+02 8.441155849480314480e-07
2.262626262626262701e+02 6.248386728894106696e-07
2.287878787878787818e+02 4.626281342653110097e-07
2.313131313131312936e+02 3.426197835239294639e-07
2.338383838383838338e+02 2.537933459591854653e-07
2.363636363636363455e+02 1.880375833162420558e-07
2.388888888888888857e+02 1.393543679314228128e-07
2.414141414141413975e+02 1.032953400426510623e-07
2.439393939393939377e+02 7.658470162942273966e-08
2.464646464646464494e+02 5.679091248206513185e-08
2.489898989898989896e+02 4.212166243531489783e-08
2.515151515151515014e+02 3.124763444645814801e-08
2.540404040404040416e+02 2.318568960027847229e-08
2.565656565656565817e+02 1.720684826964270919e-08
2.590909090909091219e+02 1.277214909789482173e-08
2.616161616161616053e+02 9.482149834585107883e-09
2.641414141414140886e+02 7.040991467089109481e-09
2.666666666666666288e+02 5.229170166541458783e-09
2.691919191919191690e+02 3.884288942258989584e-09
2.717171717171717091e+02 2.885755615173859487e-09
2.742424242424242493e+02 2.144273588049849893e-09
2.767676767676767895e+02 1.593579979849750609e-09
2.792929292929292728e+02 1.184503705446694133e-09
2.818181818181818130e+02 8.805969061782548879e-10
2.843434343434342964e+02 6.547738110446351447e-10
2.868686868686868365e+02 4.869223305179199584e-10
2.893939393939393767e+02 3.621525993538072159e-10
2.919191919191919169e+02 2.693941269162074287e-10
2.944444444444444571e+02 2.004232271264363397e-10
2.969696969696969973e+02 1.491318953044354959e-10
2.994949494949494806e+02 1.109823207100468965e-10
3.020202020202020208e+02 8.260350296644220392e-11
3.045454545454545041e+02 6.148951167868138261e-11
3.070707070707070443e+02 4.577855907023830758e-11
3.095959595959595845e+02 3.408635198543071560e-11
3.121212121212121247e+02 2.538377652716376748e-11
3.146464646464646648e+02 1.890545549838114244e-11
3.171717171717171482e+02 1.408231097331426100e-11
3.196969696969696884e+02 1.049089579001463840e-11
3.222222222222221717e+02 7.816347360353142792e-12
3.247474747474747119e+02 5.824348266007415155e-12
3.272727272727272521e+02 4.340560197400159975e-12
3.297979797979797922e+02 3.235137688048601050e-12
3.323232323232323324e+02 2.411502918267540690e-12
3.348484848484848726e+02 1.797763454016218326e-12
3.373737373737373559e+02 1.340375224888614011e-12
3.398989898989898961e+02 9.994617932370778329e-13
3.424242424242423795e+02 7.453378663316166275e-13
3.449494949494949196e+02 5.558865346613492747e-13
3.474747474747474598e+02 4.146336964577100848e-13
3.500000000000000000e+02 3.093057202630273141e-13
