# #for lambda=500nm
# #cos(delta)	rate
-9.999500004166652634e-01 4.051805661675277632e+06
-9.973173569503041014e-01 5.414131446973050479e+05
-9.906943849447265027e-01 2.761323710423268494e+05
-9.801075833212882227e-01 1.774991951116402342e+05
-9.655993105292455247e-01 1.262446656125671580e+05
-9.472276150669759476e-01 9.511825530071370304e+04
-9.250660032263395838e-01 7.416054776103145559e+04
-8.992031449894501982e-01 5.937744164189820731e+04
-8.697425192545836792e-01 4.849663188973117212e+04
-8.368019998106932533e-01 4.023649186012613791e+04
-8.005133837170779199e-01 3.376912000983486359e+04
-7.610218639751810121e-01 2.866160810845168817e+04
-7.184854486023944942e-01 2.453880775381439889e+04
-6.730743284321940578e-01 2.120168524331651861e+04
-6.249701961700653285e-01 1.847541451937320016e+04
-5.743655194297346833e-01 1.622893672541914566e+04
-5.214627706583202515e-01 1.436098891350904523e+04
-4.664736170315241792e-01 1.280727867809650888e+04
-4.096180735601520073e-01 1.151295682273809689e+04
-3.511236227964165124e-01 1.043868140480310467e+04
-2.912243046621564302e-01 9.540757309394757613e+03
-2.301597800406047223e-01 8.796297021661457620e+03
-1.681743718783473840e-01 8.182964057151212728e+03
-1.055160876340741349e-01 7.675146139513446542e+03
-4.243562698537111516e-02 7.261709059480096585e+03
2.081462123622328936e-02 6.927913017588585717e+03
8.398158886857212679e-02 6.662942021503431533e+03
1.468125409603351916e-01 6.458234701410768139e+03
2.090560869791707188e-01 6.301164120992324570e+03
2.704631866408296337e-01 6.190861280730267026e+03
3.307881463347652207e-01 6.112389908144869878e+03
3.897896021594906002e-01 6.070545664881605262e+03
4.472314856345048772e-01 6.048815437623028629e+03
5.028839682249094389e-01 6.049578026632449109e+03
5.565243808996169772e-01 6.068265021078407699e+03
6.079381050439408574e-01 6.097674094999550107e+03
6.569194311619719340e-01 6.140362225626961845e+03
7.032723819330148896e-01 6.192030313528145598e+03
7.468114963289933517e-01 6.246924585623654821e+03
7.873625716555132659e-01 6.304538510746892825e+03
8.247633605476379914e-01 6.362185850045784719e+03
8.588642201316464275e-01 6.420008517809708792e+03
8.895287107554445960e-01 6.473670950031569191e+03
9.166341418920662676e-01 6.528765668630697292e+03
9.400720630320736904e-01 6.573676449713254442e+03
9.597486976007659765e-01 6.612721417812314940e+03
9.755853181640639082e-01 6.646221977744920878e+03
9.875185614218523478e-01 6.671220891412862329e+03
9.955006817284698384e-01 6.687816285359102949e+03
9.994997421259953496e-01 6.696106936581096306e+03
9.994997421259953496e-01 6.696106936581096306e+03
9.955006817284698384e-01 6.687816285359102949e+03
9.875185614218523478e-01 6.671220891412862329e+03
9.755853181640640193e-01 6.646221977744920878e+03
9.597486976007660875e-01 6.612721417812314940e+03
9.400720630320738014e-01 6.573676449713254442e+03
9.166341418920662676e-01 6.528765668630697292e+03
8.895287107554445960e-01 6.473670950031569191e+03
8.588642201316467606e-01 6.420008517809708792e+03
8.247633605476382135e-01 6.362185850045792904e+03
7.873625716555135989e-01 6.304538510746894644e+03
7.468114963289933517e-01 6.246924585623654821e+03
7.032723819330152226e-01 6.192030313528145598e+03
6.569194311619722670e-01 6.140362225626961845e+03
6.079381050439413015e-01 6.097674094999550107e+03
5.565243808996174213e-01 6.068265021078408608e+03
5.028839682249094389e-01 6.049578026632449109e+03
4.472314856345052658e-01 6.048815437623028629e+03
3.897896021594906002e-01 6.070545664881605262e+03
3.307881463347654427e-01 6.112389908144868059e+03
2.704631866408302443e-01 6.190861280730266117e+03
2.090560869791707188e-01 6.301164120992324570e+03
1.468125409603356357e-01 6.458234701410768139e+03
8.398158886857190475e-02 6.662942021503431533e+03
2.081462123622351140e-02 6.927913017588585717e+03
-4.243562698537067107e-02 7.261709059480096585e+03
-1.055160876340741349e-01 7.675146139513446542e+03
-1.681743718783469399e-01 8.182964057151209090e+03
-2.301597800406040562e-01 8.796297021661453982e+03
-2.912243046621562081e-01 9.540757309394753975e+03
-3.511236227964161238e-01 1.043868140480309739e+04
-4.096180735601520073e-01 1.151295682273809689e+04
-4.664736170315241792e-01 1.280727867809650888e+04
-5.214627706583194744e-01 1.436098891350903068e+04
-5.743655194297346833e-01 1.622893672541914566e+04
-6.249701961700649955e-01 1.847541451937318197e+04
-6.730743284321940578e-01 2.120168524331651861e+04
-7.184854486023944942e-01 2.453880775381439889e+04
-7.610218639751803460e-01 2.866160810845162632e+04
-8.005133837170779199e-01 3.376912000983486359e+04
-8.368019998106930313e-01 4.023649186012609425e+04
-8.697425192545836792e-01 4.849663188973117212e+04
-8.992031449894501982e-01 5.937744164189820731e+04
-9.250660032263393617e-01 7.416054776103131007e+04
-9.472276150669759476e-01 9.511825530071370304e+04
-9.655993105292454137e-01 1.262446656125668815e+05
-9.801075833212882227e-01 1.774991951116402342e+05
-9.906943849447265027e-01 2.761323710423268494e+05
-9.973173569503039904e-01 5.414131446972988779e+05
-9.999500004166652634e-01 4.051805661675277632e+06
