# #for lambda=550.0nm
# #Distance	rate
1.000000000000000000e+02 3.466436378712580336e+04
1.025252525252525260e+02 2.810571624667372453e+04
1.050505050505050519e+02 2.281566765759696136e+04
1.075757575757575779e+02 1.854273381733967108e+04
1.101010101010101039e+02 1.508665998485185264e+04
1.126262626262626299e+02 1.228766839239475303e+04
1.151515151515151558e+02 1.001803704930266031e+04
1.176767676767676676e+02 8.175486473093476889e+03
1.202020202020202078e+02 6.677972881613821301e+03
1.227272727272727195e+02 5.459578777299154353e+03
1.252525252525252597e+02 4.467262176783859104e+03
1.277777777777777715e+02 3.658279466929278897e+03
1.303030303030303116e+02 2.998138067853884877e+03
1.328282828282828234e+02 2.458966785624199019e+03
1.353535353535353352e+02 2.018216211466992490e+03
1.378787878787878753e+02 1.657620477564449402e+03
1.404040404040404155e+02 1.362366400656851738e+03
1.429292929292929273e+02 1.120427510998141770e+03
1.454545454545454390e+02 9.220294192853975801e+02
1.479797979797979792e+02 7.592199858641937453e+02
1.505050505050505194e+02 6.255232599071420054e+02
1.530303030303030312e+02 5.156604858460349305e+02
1.555555555555555429e+02 4.253248880138284562e+02
1.580808080808080831e+02 3.509996416709653317e+02
1.606060606060605949e+02 2.898105740280448117e+02
1.631313131313131350e+02 2.394068328097651772e+02
1.656565656565656468e+02 1.978641061002265644e+02
1.681818181818181870e+02 1.636060489465469061e+02
1.707070707070706987e+02 1.353404268795746646e+02
1.732323232323232105e+02 1.120071692050517953e+02
1.757575757575757507e+02 9.273607108551178158e+01
1.782828282828282909e+02 7.681232102983076970e+01
1.808080808080808026e+02 6.364838152005356164e+01
1.833333333333333144e+02 5.276103261514166576e+01
1.858585858585858546e+02 4.375261534044231837e+01
1.883838383838383947e+02 3.629569451095716914e+01
1.909090909090909065e+02 3.012050810714600857e+01
1.934343434343434183e+02 2.500468940654752714e+01
1.959595959595959584e+02 2.076484434650317468e+01
1.984848484848484986e+02 1.724964450835122065e+01
2.010101010101010104e+02 1.433415923867858055e+01
2.035353535353535221e+02 1.191520161826606206e+01
2.060606060606060623e+02 9.907504549896733792e+00
2.085858585858585741e+02 8.240577007499028994e+00
2.111111111111110858e+02 6.856117956260685098e+00
2.136363636363636260e+02 5.705887813044383527e+00
2.161616161616161662e+02 4.749955534032414661e+00
2.186868686868686780e+02 3.955254271685764600e+00
2.212121212121211897e+02 3.294390666176052918e+00
2.237373737373737299e+02 2.744662737614357528e+00
2.262626262626262701e+02 2.287249437986641265e+00
2.287878787878787818e+02 1.906541540905708931e+00
2.313131313131312936e+02 1.589588965192004766e+00
2.338383838383838338e+02 1.325644065963451412e+00
2.363636363636363455e+02 1.105784064117432797e+00
2.388888888888888857e+02 9.225987681391873974e-01
2.414141414141413975e+02 7.699321902531174322e-01
2.439393939393939377e+02 6.426686692090187725e-01
2.464646464646464494e+02 5.365557637357272203e-01
2.489898989898989896e+02 4.480575386243219049e-01
2.515151515151515014e+02 3.742329824082233913e-01
2.540404040404040416e+02 3.126352149312313644e-01
2.565656565656565817e+02 2.612279001208438478e-01
2.590909090909091219e+02 2.183159029847908106e-01
2.616161616161616053e+02 1.824877439612642982e-01
2.641414141414140886e+02 1.525678277391005200e-01
2.666666666666666288e+02 1.275767734882901905e-01
2.691919191919191690e+02 1.066984622087131379e-01
2.717171717171717091e+02 8.925265537945493988e-02
2.742424242424242493e+02 7.467223611783570247e-02
2.767676767676767895e+02 6.248428690953773679e-02
2.792929292929292728e+02 5.229435263253297272e-02
2.818181818181818130e+02 4.377334899303973043e-02
2.843434343434342964e+02 3.664666867764643232e-02
2.868686868686868365e+02 3.068511384403686815e-02
2.893939393939393767e+02 2.569734677847180376e-02
2.919191919191919169e+02 2.152360291347737292e-02
2.944444444444444571e+02 1.803045379888818314e-02
2.969696969696969973e+02 1.510644360111013280e-02
2.994949494949494806e+02 1.265845254731838739e-02
3.020202020202020208e+02 1.060866548926860456e-02
3.045454545454545041e+02 8.892044308285699042e-03
3.070707070707070443e+02 7.454219940506936863e-03
3.095959595959595845e+02 6.249733966612918551e-03
3.121212121212121247e+02 5.240571477107116259e-03
3.146464646464646648e+02 4.394936701695418245e-03
3.171717171717171482e+02 3.686231018166754442e-03
3.196969696969696884e+02 3.092199712981572989e-03
3.222222222222221717e+02 2.594219485073011311e-03
3.247474747474747119e+02 2.176703358936993293e-03
3.272727272727272521e+02 1.826603562806601013e-03
3.297979797979797922e+02 1.532996165195686785e-03
3.323232323232323324e+02 1.286733958419789686e-03
3.348484848484848726e+02 1.080156322216971505e-03
3.373737373737373559e+02 9.068466701598859158e-04
3.398989898989898961e+02 7.614296391852332698e-04
3.424242424242423795e+02 6.394014806212930347e-04
3.449494949494949196e+02 5.369881930788574431e-04
3.474747474747474598e+02 4.510268396584281151e-04
3.500000000000000000e+02 3.788662441953699806e-04
