#for d=150m lambda=500nm
#cos(delta)	rate
-0.9999500004166653 5.59653739454389e-05
-0.9973173569503041 5.4181738781592375e-06
-0.9906943849447265 2.486734167269202e-06
-0.9801075833212882 1.5330210070100761e-06
-0.9655993105292455 1.0735497114735316e-06
-0.947227615066976 8.060117758017082e-07
-0.9250660032263396 6.319093752584787e-07
-0.8992031449894502 5.107191826205919e-07
-0.8697425192545837 4.218803861278265e-07
-0.8368019998106933 3.54678508443945e-07
-0.8005133837170779 3.023720473209802e-07
-0.761021863975181 2.6112142105515706e-07
-0.7184854486023945 2.2758515236917397e-07
-0.6730743284321941 2.0016501976286226e-07
-0.6249701961700653 1.7768172367195475e-07
-0.5743655194297347 1.589958971565364e-07
-0.5214627706583203 1.433430769257189e-07
-0.4664736170315242 1.301434034912053e-07
-0.409618073560152 1.1894427475747452e-07
-0.3511236227964165 1.0940447133700011e-07
-0.29122430466215643 1.0124790596466921e-07
-0.23015978004060472 9.425228862111865e-08
-0.16817437187834738 8.82312063250971e-08
-0.10551608763407413 8.304011122472799e-08
-0.042435626985371115 7.856352668308538e-08
0.02081462123622329 7.471009567213449e-08
0.08398158886857213 7.139415812531638e-08
0.1468125409603352 6.85524015623607e-08
0.20905608697917072 6.613222837550138e-08
0.27046318664082963 6.407829690218982e-08
0.3307881463347652 6.235745824610362e-08
0.3897896021594906 6.093985694017038e-08
0.4472314856345049 5.97955401460996e-08
0.5028839682249094 5.889862288306323e-08
0.556524380899617 5.822385760050526e-08
0.6079381050439409 5.77462705341997e-08
0.6569194311619719 5.744182246004723e-08
0.7032723819330149 5.729217198576948e-08
0.7468114963289934 5.727383684209266e-08
0.7873625716555133 5.736419085645132e-08
0.824763360547638 5.754101068528547e-08
0.8588642201316464 5.7782632713345006e-08
0.8895287107554446 5.806555050955125e-08
0.9166341418920663 5.83695514303218e-08
0.9400720630320737 5.867340647381544e-08
0.959748697600766 5.8958458826959535e-08
0.9755853181640639 5.9208207264616024e-08
0.9875185614218523 5.9408174243892484e-08
0.9955006817284698 5.954799910209299e-08
0.9994997421259953 5.962017726170677e-08
0.9994997421259953 5.962017726170677e-08
0.9955006817284698 5.954799910209299e-08
0.9875185614218523 5.9408174243892484e-08
0.975585318164064 5.920820726461604e-08
0.9597486976007661 5.895845882695955e-08
0.9400720630320738 5.867340647381543e-08
0.9166341418920663 5.83695514303218e-08
0.8895287107554446 5.806555050955125e-08
0.8588642201316468 5.7782632713345006e-08
0.8247633605476382 5.754101068528546e-08
0.7873625716555136 5.736419085645133e-08
0.7468114963289934 5.727383684209266e-08
0.7032723819330152 5.7292171985769466e-08
0.6569194311619723 5.744182246004724e-08
0.6079381050439413 5.774627053419969e-08
0.5565243808996174 5.822385760050526e-08
0.5028839682249094 5.889862288306323e-08
0.44723148563450527 5.979554014609963e-08
0.3897896021594906 6.093985694017038e-08
0.33078814633476544 6.23574582461036e-08
0.27046318664083024 6.407829690218982e-08
0.20905608697917072 6.613222837550138e-08
0.14681254096033564 6.855240156236066e-08
0.0839815888685719 7.139415812531638e-08
0.02081462123622351 7.471009567213449e-08
-0.04243562698537067 7.85635266830853e-08
-0.10551608763407413 8.304011122472799e-08
-0.16817437187834694 8.823120632509707e-08
-0.23015978004060406 9.425228862111857e-08
-0.2912243046621562 1.012479059646692e-07
-0.3511236227964161 1.0940447133700007e-07
-0.409618073560152 1.1894427475747452e-07
-0.4664736170315242 1.301434034912053e-07
-0.5214627706583195 1.4334307692571868e-07
-0.5743655194297347 1.589958971565364e-07
-0.624970196170065 1.776817236719546e-07
-0.6730743284321941 2.0016501976286226e-07
-0.7184854486023945 2.2758515236917397e-07
-0.7610218639751803 2.611214210551567e-07
-0.8005133837170779 3.023720473209802e-07
-0.836801999810693 3.546785084439446e-07
-0.8697425192545837 4.218803861278265e-07
-0.8992031449894502 5.107191826205919e-07
-0.9250660032263394 6.319093752584779e-07
-0.947227615066976 8.060117758017082e-07
-0.9655993105292454 1.0735497114735297e-06
-0.9801075833212882 1.5330210070100761e-06
-0.9906943849447265 2.486734167269202e-06
-0.997317356950304 5.41817387815915e-06
-0.9999500004166653 5.59653739454389e-05
