# #lambda	QE(%)
2.700000000000000000e+02 0.000000000000000000e+00
2.704399999999999977e+02 0.000000000000000000e+00
2.708799999999999955e+02 0.000000000000000000e+00
2.713199999999999932e+02 0.000000000000000000e+00
2.717599999999999909e+02 0.000000000000000000e+00
2.721999999999999886e+02 0.000000000000000000e+00
2.726399999999999864e+02 0.000000000000000000e+00
2.730799999999999841e+02 0.000000000000000000e+00
2.735199999999999818e+02 0.000000000000000000e+00
2.739599999999999795e+02 0.000000000000000000e+00
2.743999999999999773e+02 0.000000000000000000e+00
2.748399999999999750e+02 0.000000000000000000e+00
2.752799999999999727e+02 0.000000000000000000e+00
2.757200000000000273e+02 0.000000000000000000e+00
2.761600000000000250e+02 0.000000000000000000e+00
2.766000000000000227e+02 0.000000000000000000e+00
2.770400000000000205e+02 0.000000000000000000e+00
2.774800000000000182e+02 0.000000000000000000e+00
2.779200000000000159e+02 0.000000000000000000e+00
2.783600000000000136e+02 0.000000000000000000e+00
2.788000000000000114e+02 0.000000000000000000e+00
2.792400000000000091e+02 0.000000000000000000e+00
2.796800000000000068e+02 0.000000000000000000e+00
2.801200000000000045e+02 0.000000000000000000e+00
2.805600000000000023e+02 0.000000000000000000e+00
2.810000000000000000e+02 0.000000000000000000e+00
2.814399999999999977e+02 0.000000000000000000e+00
2.818799999999999955e+02 0.000000000000000000e+00
2.823199999999999932e+02 0.000000000000000000e+00
2.827599999999999909e+02 0.000000000000000000e+00
2.831999999999999886e+02 0.000000000000000000e+00
2.836399999999999864e+02 0.000000000000000000e+00
2.840799999999999841e+02 0.000000000000000000e+00
2.845199999999999818e+02 0.000000000000000000e+00
2.849599999999999795e+02 0.000000000000000000e+00
2.853999999999999773e+02 0.000000000000000000e+00
2.858399999999999750e+02 0.000000000000000000e+00
2.862799999999999727e+02 0.000000000000000000e+00
2.867200000000000273e+02 0.000000000000000000e+00
2.871600000000000250e+02 0.000000000000000000e+00
2.876000000000000227e+02 0.000000000000000000e+00
2.880400000000000205e+02 0.000000000000000000e+00
2.884800000000000182e+02 0.000000000000000000e+00
2.889200000000000159e+02 0.000000000000000000e+00
2.893600000000000136e+02 0.000000000000000000e+00
2.898000000000000114e+02 0.000000000000000000e+00
2.902400000000000091e+02 0.000000000000000000e+00
2.906800000000000068e+02 0.000000000000000000e+00
2.911200000000000045e+02 0.000000000000000000e+00
2.915600000000000023e+02 0.000000000000000000e+00
2.920000000000000000e+02 0.000000000000000000e+00
2.924399999999999977e+02 0.000000000000000000e+00
2.928799999999999955e+02 0.000000000000000000e+00
2.933199999999999932e+02 0.000000000000000000e+00
2.937599999999999909e+02 0.000000000000000000e+00
2.941999999999999886e+02 0.000000000000000000e+00
2.946399999999999864e+02 0.000000000000000000e+00
2.950799999999999841e+02 0.000000000000000000e+00
2.955199999999999818e+02 0.000000000000000000e+00
2.959599999999999795e+02 0.000000000000000000e+00
2.963999999999999773e+02 0.000000000000000000e+00
2.968399999999999750e+02 0.000000000000000000e+00
2.972799999999999727e+02 0.000000000000000000e+00
2.977200000000000273e+02 0.000000000000000000e+00
2.981600000000000250e+02 0.000000000000000000e+00
2.986000000000000227e+02 0.000000000000000000e+00
2.990400000000000205e+02 0.000000000000000000e+00
2.994800000000000182e+02 0.000000000000000000e+00
2.999200000000000159e+02 0.000000000000000000e+00
3.003600000000000136e+02 1.080000000000040823e-02
3.008000000000000114e+02 2.400000000000034051e-02
3.012400000000000091e+02 3.720000000000027451e-02
3.016800000000000068e+02 5.040000000000020158e-02
3.021200000000000045e+02 6.360000000000012865e-02
3.025600000000000023e+02 7.680000000000006266e-02
3.030000000000000000e+02 8.999999999999999667e-02
3.034399999999999977e+02 1.031999999999999307e-01
3.038799999999999955e+02 1.163999999999998647e-01
3.043199999999999932e+02 1.295999999999997987e-01
3.047599999999999909e+02 1.427999999999997327e-01
3.051999999999999886e+02 1.595999999999994368e-01
3.056399999999999864e+02 1.807199999999993256e-01
3.060799999999999841e+02 2.018399999999992422e-01
3.065199999999999818e+02 2.229599999999991033e-01
3.069599999999999795e+02 2.440799999999990200e-01
3.073999999999999773e+02 2.651999999999988811e-01
3.078400000000000318e+02 2.863200000000015177e-01
3.082799999999999727e+02 3.074399999999987143e-01
3.087200000000000273e+02 3.285600000000012955e-01
3.091600000000000250e+02 3.496800000000012121e-01
3.096000000000000227e+02 3.708000000000011287e-01
3.100400000000000205e+02 4.007200000000055162e-01
3.104800000000000182e+02 5.186400000000048749e-01
3.109200000000000159e+02 6.365600000000042336e-01
3.113600000000000136e+02 7.544800000000035922e-01
3.118000000000000114e+02 8.724000000000029509e-01
3.122400000000000091e+02 9.903200000000023095e-01
3.126800000000000068e+02 1.108240000000001668e+00
3.131200000000000045e+02 1.226160000000001027e+00
3.135600000000000023e+02 1.344080000000000386e+00
3.140000000000000000e+02 1.461999999999999744e+00
3.144399999999999977e+02 1.579919999999999103e+00
3.148799999999999955e+02 1.697839999999998462e+00
3.153199999999999932e+02 1.837519999999997600e+00
3.157599999999999909e+02 1.985359999999996905e+00
3.161999999999999886e+02 2.133199999999995988e+00
3.166399999999999864e+02 2.281039999999995516e+00
3.170799999999999841e+02 2.428879999999994599e+00
3.175199999999999818e+02 2.576719999999993682e+00
3.179599999999999795e+02 2.724559999999993209e+00
3.183999999999999773e+02 2.872399999999992737e+00
3.188400000000000318e+02 3.020240000000010916e+00
3.192799999999999727e+02 3.168079999999990903e+00
3.197200000000000273e+02 3.315920000000009082e+00
3.201600000000000250e+02 3.512720000000016274e+00
3.206000000000000227e+02 3.795200000000014562e+00
3.210400000000000205e+02 4.077680000000013294e+00
3.214800000000000182e+02 4.360160000000012026e+00
3.219200000000000159e+02 4.642640000000010758e+00
3.223600000000000136e+02 4.925120000000008602e+00
3.228000000000000114e+02 5.207600000000007334e+00
3.232400000000000091e+02 5.490080000000006066e+00
3.236800000000000068e+02 5.772560000000004798e+00
3.241200000000000045e+02 6.055040000000003531e+00
3.245600000000000023e+02 6.337520000000001374e+00
3.250000000000000000e+02 6.620000000000000107e+00
3.254399999999999977e+02 6.932399999999998563e+00
3.258799999999999955e+02 7.244799999999997020e+00
3.263199999999999932e+02 7.557199999999995477e+00
3.267599999999999909e+02 7.869599999999993045e+00
3.271999999999999886e+02 8.181999999999991502e+00
3.276399999999999864e+02 8.494399999999989959e+00
3.280799999999999841e+02 8.806799999999988415e+00
3.285199999999999818e+02 9.119199999999986872e+00
3.289599999999999795e+02 9.431599999999985329e+00
3.293999999999999773e+02 9.743999999999983785e+00
3.298400000000000318e+02 1.005640000000002310e+01
3.302799999999999727e+02 1.035367999999998290e+01
3.307200000000000273e+02 1.064232000000001754e+01
3.311600000000000250e+02 1.093096000000001666e+01
3.316000000000000227e+02 1.121960000000001401e+01
3.320400000000000205e+02 1.150824000000001313e+01
3.324800000000000182e+02 1.179688000000001225e+01
3.329200000000000159e+02 1.208552000000000959e+01
3.333600000000000136e+02 1.237416000000000871e+01
3.338000000000000114e+02 1.266280000000000783e+01
3.342400000000000091e+02 1.295144000000000517e+01
3.346800000000000068e+02 1.324008000000000429e+01
3.351200000000000045e+02 1.352680000000000149e+01
3.355600000000000023e+02 1.380840000000000067e+01
3.360000000000000000e+02 1.408999999999999986e+01
3.364399999999999977e+02 1.437159999999999727e+01
3.368799999999999955e+02 1.465319999999999645e+01
3.373199999999999932e+02 1.493479999999999563e+01
3.377599999999999909e+02 1.521639999999999304e+01
3.381999999999999886e+02 1.549799999999999223e+01
3.386399999999999864e+02 1.577959999999998963e+01
3.390799999999999841e+02 1.606119999999998882e+01
3.395199999999999818e+02 1.634279999999998623e+01
3.399599999999999795e+02 1.662439999999998719e+01
3.403999999999999773e+02 1.682119999999999038e+01
3.408400000000000318e+02 1.700952000000001263e+01
3.412799999999999727e+02 1.719783999999998869e+01
3.417200000000000273e+02 1.738616000000001094e+01
3.421599999999999682e+02 1.757447999999998700e+01
3.426000000000000227e+02 1.776280000000000925e+01
3.430400000000000205e+02 1.795112000000000663e+01
3.434800000000000182e+02 1.813944000000000756e+01
3.439200000000000159e+02 1.832776000000000494e+01
3.443600000000000136e+02 1.851608000000000587e+01
3.448000000000000114e+02 1.870440000000000325e+01
3.452400000000000091e+02 1.888360000000000127e+01
