# #lambda	lambda_abs
2.900000000000000000e+02 0.000000000000000000e+00
2.904300000000000068e+02 2.558500000000040742e-01
2.908600000000000136e+02 5.117000000000081483e-01
2.912900000000000205e+02 7.675500000000121670e-01
2.917200000000000273e+02 1.023400000000016297e+00
2.921499999999999773e+02 1.279249999999986454e+00
2.925799999999999841e+02 1.535099999999990361e+00
2.930099999999999909e+02 1.790949999999994491e+00
2.934399999999999977e+02 2.046799999999998398e+00
2.938700000000000045e+02 2.302650000000002528e+00
2.943000000000000114e+02 2.558500000000006658e+00
2.947300000000000182e+02 2.814350000000010787e+00
2.951600000000000250e+02 3.070200000000014917e+00
2.955899999999999750e+02 3.326049999999984852e+00
2.960199999999999818e+02 3.581899999999988982e+00
2.964499999999999886e+02 3.837749999999993111e+00
2.968799999999999955e+02 4.093599999999996797e+00
2.973100000000000023e+02 4.349450000000000927e+00
2.977400000000000091e+02 4.605300000000005056e+00
2.981700000000000159e+02 4.861150000000009186e+00
2.986000000000000227e+02 5.117000000000013316e+00
2.990299999999999727e+02 5.372849999999983694e+00
2.994599999999999795e+02 5.628699999999987824e+00
2.998899999999999864e+02 5.884549999999991954e+00
3.003199999999999932e+02 6.140399999999996083e+00
3.007500000000000000e+02 6.396249999999999325e+00
3.011800000000000068e+02 6.652100000000003455e+00
3.016100000000000136e+02 6.907950000000007584e+00
3.020400000000000205e+02 7.163800000000011714e+00
3.024700000000000273e+02 7.419650000000015844e+00
3.028999999999999773e+02 7.675499999999986223e+00
3.033299999999999841e+02 7.931349999999990352e+00
3.037599999999999909e+02 8.187199999999993594e+00
3.041899999999999977e+02 8.443049999999997723e+00
3.046200000000000045e+02 8.698900000000001853e+00
3.050500000000000114e+02 8.954750000000005983e+00
3.054800000000000182e+02 9.210600000000010112e+00
3.059100000000000250e+02 9.466450000000014242e+00
3.063399999999999750e+02 9.722299999999984621e+00
3.067699999999999818e+02 9.978149999999988751e+00
3.071999999999999886e+02 1.023399999999999288e+01
3.076299999999999955e+02 1.048984999999999701e+01
3.080600000000000023e+02 1.074570000000000114e+01
3.084900000000000091e+02 1.100155000000000527e+01
3.089200000000000159e+02 1.125740000000000940e+01
