# #lambda	lambda_scatt
3.000000000000000000e+02 4.863207898064191426e+01
3.003999999999999773e+02 4.891282039578976537e+01
3.008000000000000114e+02 4.919480565191078369e+01
3.011999999999999886e+02 4.947803859487213884e+01
3.016000000000000227e+02 4.976252307729788527e+01
3.020000000000000000e+02 5.004826295857139939e+01
3.023999999999999773e+02 5.033526210483858421e+01
3.028000000000000114e+02 5.062352438901062612e+01
3.031999999999999886e+02 5.091305369076671639e+01
3.036000000000000227e+02 5.120385389655718456e+01
3.040000000000000000e+02 5.149592889960607778e+01
3.043999999999999773e+02 5.178928259991426586e+01
3.048000000000000114e+02 5.208391890426221948e+01
3.051999999999999886e+02 5.237984172621266765e+01
3.056000000000000227e+02 5.267705498611381643e+01
3.060000000000000000e+02 5.297556261110180031e+01
3.063999999999999773e+02 5.327536853510387260e+01
3.068000000000000114e+02 5.357647669884109831e+01
3.071999999999999886e+02 5.387889104983104005e+01
3.076000000000000227e+02 5.418261554239096256e+01
3.080000000000000000e+02 5.448765413764024856e+01
3.083999999999999773e+02 5.479401080350358910e+01
3.088000000000000114e+02 5.510168951471363386e+01
3.091999999999999886e+02 5.541069425281381200e+01
3.096000000000000227e+02 5.572102900616129517e+01
3.100000000000000000e+02 5.603269776992952700e+01
3.103999999999999773e+02 5.634570454611143475e+01
3.108000000000000114e+02 5.666005334352200862e+01
3.111999999999999886e+02 5.697574817780103729e+01
3.116000000000000227e+02 5.729279307141622013e+01
3.120000000000000000e+02 5.761119205366562568e+01
3.123999999999999773e+02 5.793094916068081801e+01
3.128000000000000114e+02 5.825206843542952129e+01
3.131999999999999886e+02 5.857455392771827007e+01
3.136000000000000227e+02 5.889840969419554995e+01
3.140000000000000000e+02 5.922363979835422754e+01
3.143999999999999773e+02 5.955024831053467693e+01
3.148000000000000114e+02 5.987823930792742289e+01
3.151999999999999886e+02 6.020761687457574851e+01
3.156000000000000227e+02 6.053838510137893536e+01
3.160000000000000000e+02 6.087054808609451584e+01
3.163999999999999773e+02 6.120410993334152039e+01
3.168000000000000114e+02 6.153907475460304966e+01
3.171999999999999886e+02 6.187544666822890349e+01
3.176000000000000227e+02 6.221322979943868603e+01
3.180000000000000000e+02 6.255242828032436364e+01
3.183999999999999773e+02 6.289304624985309289e+01
3.188000000000000114e+02 6.323508785387002007e+01
3.191999999999999886e+02 6.357855724510087470e+01
3.196000000000000227e+02 6.392345858315508167e+01
3.200000000000000000e+02 6.426979603452811318e+01
3.203999999999999773e+02 6.461757377260458668e+01
3.208000000000000114e+02 6.496679597766092229e+01
3.211999999999999886e+02 6.531746683686785104e+01
3.216000000000000227e+02 6.566959054429366915e+01
3.220000000000000000e+02 6.602317130090642650e+01
